source,sales,sales_category
ZASCA,11000000.0,10-50M
ZASCA,50000000.0,50-200M
ZASCA,9600000.0,1-10M
ZASCA,60000000.0,50-200M
ZASCA,1752000000.0,1B+
ZASCA,18000000.0,10-50M
ZASCA,150000000.0,50-200M
ZASCA,180000000.0,50-200M
ZASCA,1300000.0,1-10M
ZASCA,1000000.0,1-10M
ZASCA,5000000.0,1-10M
ZASCA,60000000.0,50-200M
ZASCA,17000000.0,10-50M
ZASCA,2000000.0,1-10M
ZASCA,40000000.0,10-50M
ZASCA,7000000.0,1-10M
ZASCA,190000000.0,50-200M
ZASCA,4000000.0,1-10M
ZASCA,35000000.0,10-50M
ZASCA,483143272.0,200M-1B
ZASCA,500000000.0,200M-1B
ZASCA,56000000.0,50-200M
ZASCA,353929000.0,200M-1B
ZASCA,60000000.0,50-200M
ZASCA,2000000.0,1-10M
ZASCA,4800000.0,1-10M
ZASCA,6000000.0,1-10M
ZASCA,3000000.0,1-10M
ZASCA,2500000.0,1-10M
ZASCA,13000000.0,10-50M
ZASCA,9800000.0,1-10M
ZASCA,31500000.0,10-50M
ZASCA,5000000.0,1-10M
ZASCA,3000000.0,1-10M
ZASCA,7800000.0,1-10M
ZASCA,13000000.0,10-50M
ZASCA,1300000.0,1-10M
ZASCA,3000000.0,1-10M
ZASCA,8000000.0,1-10M
ZASCA,9000000.0,1-10M
ZASCA,10200000.0,10-50M
ZASCA,15000000.0,10-50M
ZASCA,38000000.0,10-50M
ZASCA,3500000.0,1-10M
ZASCA,10800000.0,10-50M
ZASCA,3000000.0,1-10M
ZASCA,48000000.0,10-50M
ZASCA,15000000.0,10-50M
ZASCA,1680000.0,1-10M
ZASCA,9000000.0,1-10M
ZASCA,6000000.0,1-10M
ZASCA,100000000.0,50-200M
ZASCA,50000000.0,50-200M
ZASCA,200000000.0,200M-1B
ZASCA,160000000.0,50-200M
ZASCA,14000000.0,10-50M
ZASCA,18000000.0,10-50M
ZASCA,30000000.0,10-50M
ZASCA,100000000.0,50-200M
ZASCA,158000000.0,50-200M
ZASCA,30000000.0,10-50M
ZASCA,32000000.0,10-50M
ZASCA,1800000.0,1-10M
ZASCA,28000000.0,10-50M
ZASCA,18000000.0,10-50M
ZASCA,8000000.0,1-10M
ZASCA,36000000.0,10-50M
ZASCA,70000000.0,50-200M
ZASCA,39000000.0,10-50M
ZASCA,9600000.0,1-10M
ZASCA,480000000.0,200M-1B
ZASCA,12000000.0,10-50M
ZASCA,26000000.0,10-50M
ZASCA,18000000.0,10-50M
ZASCA,14400000.0,10-50M
ZASCA,48000000.0,10-50M
ZASCA,8000000.0,1-10M
ZASCA,18500000.0,10-50M
ZASCA,180000000.0,50-200M
ZASCA,30000000.0,10-50M
ZASCA,12000000.0,10-50M
ZASCA,9000000.0,1-10M
ZASCA,15000000.0,10-50M
ZASCA,15000000.0,10-50M
ZASCA,5000000.0,1-10M
ZASCA,14400000.0,10-50M
ZASCA,62000000.0,50-200M
ZASCA,337754000.0,200M-1B
ZASCA,16000000.0,10-50M
ZASCA,66000000.0,50-200M
ZASCA,540000000.0,200M-1B
ZASCA,35000000.0,10-50M
ZASCA,36000000.0,10-50M
ZASCA,100000000.0,50-200M
ZASCA,25000000.0,10-50M
ZASCA,70000000.0,50-200M
ZASCA,12000000.0,10-50M
ZASCA,500000000.0,200M-1B
ZASCA,72000000.0,50-200M
ZASCA,50000000.0,50-200M
ZASCA,250000000.0,200M-1B
ZASCA,45000000.0,10-50M
ZASCA,625308000.0,200M-1B
ZASCA,274047000.0,200M-1B
ZASCA,350000000.0,200M-1B
ZASCA,110000000.0,50-200M
ZASCA,32000000.0,10-50M
ZASCA,250000000.0,200M-1B
ZASCA,400000000.0,200M-1B
ZASCA,50000000.0,50-200M
ZASCA,250000000.0,200M-1B
ZASCA,450000000.0,200M-1B
